Constant Name   Base Length     Height          Calculated Pi        Pi Difference        Calculated GR        GR Difference       
π               809.4000        515.2800        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               823.6000        524.3200        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               795.2000        506.2400        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               837.8000        533.3600        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               852.0000        542.4000        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               866.2000        551.4400        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               781.0000        497.2000        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               880.4000        560.4800        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               894.6000        569.5200        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               908.8000        578.5600        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               766.8000        488.1600        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               923.0000        587.6000        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               937.2000        596.6400        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               951.4000        605.6800        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               965.6000        614.7200        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               752.6000        479.1200        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               979.8000        623.7600        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               994.0000        632.8000        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               738.4000        470.0800        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               724.2000        461.0400        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               710.0000        452.0000        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               695.8000        442.9600        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               681.6000        433.9200        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               667.4000        424.8800        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               653.2000        415.8400        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               639.0000        406.8000        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               624.8000        397.7600        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               610.6000        388.7200        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               198.8000        126.5600        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               213.0000        135.6000        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               227.2000        144.6400        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               241.4000        153.6800        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               255.6000        162.7200        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               184.6000        117.5200        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
π               596.4000        379.6800        3.1415929204         0.0000002668         1.6189931016         0.0009591128        
