


Constant Name   Base Length     Height          Calculated Pi        Pi Difference        Calculated GR        GR Difference       
π               0.0973          0.0619          3.1415930632         0.0000004097         1.6189930560         0.0009590673        
π               0.0937          0.0597          3.1415930687         0.0000004151         1.6189930543         0.0009590656        
π               0.0902          0.0574          3.1415930745         0.0000004209         1.6189930524         0.0009590637        
π               0.0866          0.0552          3.1415930808         0.0000004272         1.6189930504         0.0009590617        
π               0.0831          0.0529          3.1415930877         0.0000004341         1.6189930483         0.0009590595        
π               0.0795          0.0506          3.1415930951         0.0000004415         1.6189930459         0.0009590571        
π               0.0760          0.0484          3.1415931033         0.0000004497         1.6189930433         0.0009590545        
π               0.0724          0.0461          3.1415931123         0.0000004587         1.6189930404         0.0009590517        
π               0.0689          0.0439          3.1415931222         0.0000004686         1.6189930373         0.0009590485        
π               0.0653          0.0416          3.1415931331         0.0000004795         1.6189930338         0.0009590450        
π               0.0618          0.0393          3.1415931454         0.0000004918         1.6189930299         0.0009590411        
π               0.0582          0.0371          3.1415931591         0.0000005055         1.6189930255         0.0009590367        
π               0.0547          0.0348          3.1415931746         0.0000005210         1.6189930206         0.0009590318        
π               0.0511          0.0326          3.1415931922         0.0000005386         1.6189930149         0.0009590262        
π               0.0476          0.0303          3.1415932125         0.0000005589         1.6189930085         0.0009590197        
π               0.0440          0.0280          3.1415932361         0.0000005825         1.6189930010         0.0009590122        
π               0.0405          0.0258          3.1415932637         0.0000006102         1.6189929921         0.0009590034        
π               0.0369          0.0235          3.1415932968         0.0000006432         1.6189929816         0.0009589929        
π               0.0334          0.0213          3.1415933368         0.0000006832         1.6189929689         0.0009589801        
π               0.0298          0.0190          3.1415933863         0.0000007328         1.6189929531         0.0009589643        
π               0.0263          0.0167          3.1415934493         0.0000007957         1.6189929330         0.0009589442        
π               0.0227          0.0145          3.1415935319         0.0000008783         1.6189929067         0.0009589179        
π               0.0192          0.0122          3.1415936451         0.0000009915         1.6189928706         0.0009588818   




       
Golden Ratio    0.0735          0.0467          3.1446053786         0.0030127250         1.6180340309         0.0000000421        
Golden Ratio    0.0940          0.0598          3.1446055073         0.0030128538         1.6180339899         0.0000000012        
Golden Ratio    0.0707          0.0450          3.1385797739         0.0030128797         1.6199545848         0.0019205961        
Golden Ratio    0.0452          0.0288          3.1446055422         0.0030128886         1.6180339788         0.0000000099        
Golden Ratio    0.0658          0.0418          3.1446056752         0.0030130216         1.6180339365         0.0000000522        
Golden Ratio    0.0748          0.0477          3.1385796062         0.0030130474         1.6199546384         0.0019206496        
Golden Ratio    0.0863          0.0549          3.1446057449         0.0030130913         1.6180339144         0.0000000744   


Golden Ratio    0.0676          0.0430          3.1451571625         0.0035645089         1.6178585975         0.0001753912 



























Constant Name   Base Length     Height          Calculated Pi        Pi Difference        Calculated GR        GR Difference       
π               0.0973          0.0619          3.1415930632         0.0000004097         1.6189930560         0.0009590673        
π               0.0937          0.0597          3.1415930687         0.0000004151         1.6189930543         0.0009590656        
π               0.0902          0.0574          3.1415930745         0.0000004209         1.6189930524         0.0009590637        
π               0.0866          0.0552          3.1415930808         0.0000004272         1.6189930504         0.0009590617        
π               0.0831          0.0529          3.1415930877         0.0000004341         1.6189930483         0.0009590595        
π               0.0795          0.0506          3.1415930951         0.0000004415         1.6189930459         0.0009590571        
π               0.0760          0.0484          3.1415931033         0.0000004497         1.6189930433         0.0009590545        
π               0.0724          0.0461          3.1415931123         0.0000004587         1.6189930404         0.0009590517        
π               0.0689          0.0439          3.1415931222         0.0000004686         1.6189930373         0.0009590485        
π               0.0653          0.0416          3.1415931331         0.0000004795         1.6189930338         0.0009590450        
π               0.0618          0.0393          3.1415931454         0.0000004918         1.6189930299         0.0009590411        
π               0.0582          0.0371          3.1415931591         0.0000005055         1.6189930255         0.0009590367        
π               0.0547          0.0348          3.1415931746         0.0000005210         1.6189930206         0.0009590318        
π               0.0511          0.0326          3.1415931922         0.0000005386         1.6189930149         0.0009590262        
π               0.0476          0.0303          3.1415932125         0.0000005589         1.6189930085         0.0009590197        
π               0.0440          0.0280          3.1415932361         0.0000005825         1.6189930010         0.0009590122        
π               0.0405          0.0258          3.1415932637         0.0000006102         1.6189929921         0.0009590034        
π               0.0369          0.0235          3.1415932968         0.0000006432         1.6189929816         0.0009589929        
π               0.0334          0.0213          3.1415933368         0.0000006832         1.6189929689         0.0009589801        
π               0.0298          0.0190          3.1415933863         0.0000007328         1.6189929531         0.0009589643        
π               0.0263          0.0167          3.1415934493         0.0000007957         1.6189929330         0.0009589442        
π               0.0227          0.0145          3.1415935319         0.0000008783         1.6189929067         0.0009589179        
π               0.0192          0.0122          3.1415936451         0.0000009915         1.6189928706         0.0009588818        
π               0.0972          0.0619          3.1415916329         0.0000010207         1.6189935119         0.0009595232        
π               0.0936          0.0596          3.1415915840         0.0000010696         1.6189935275         0.0009595388        
π               0.0901          0.0573          3.1415915314         0.0000011222         1.6189935443         0.0009595555        
π               0.0156          0.0100          3.1415938097         0.0000011561         1.6189928181         0.0009588294        
π               0.0865          0.0551          3.1415914744         0.0000011792         1.6189935625         0.0009595737        
π               0.0830          0.0528          3.1415914125         0.0000012411         1.6189935822         0.0009595934        
π               0.0794          0.0506          3.1415913451         0.0000013085         1.6189936037         0.0009596149        
π               0.0759          0.0483          3.1415912714         0.0000013822         1.6189936272         0.0009596384        
π               0.0121          0.0077          3.1415940710         0.0000014174         1.6189927348         0.0009587461        
π               0.0723          0.0460          3.1415911905         0.0000014631         1.6189936530         0.0009596642        
π               0.0688          0.0438          3.1415911012         0.0000015524         1.6189936814         0.0009596927        
π               0.0652          0.0415          3.1415910021         0.0000016514         1.6189937130         0.0009597242        
π               0.0617          0.0393          3.1415908917         0.0000017619         1.6189937482         0.0009597594        
π               0.0974          0.0620          3.1415944904         0.0000018368         1.6189926012         0.0009586124        
π               0.0581          0.0370          3.1415907678         0.0000018858         1.6189937877         0.0009597989        
π               0.0938          0.0597          3.1415945498         0.0000018962         1.6189925822         0.0009585935        
π               0.0085          0.0054          3.1415945498         0.0000018962         1.6189925822         0.0009585935        
π               0.0903          0.0575          3.1415946139         0.0000019603         1.6189925618         0.0009585731        
π               0.0546          0.0347          3.1415906278         0.0000020258         1.6189938323         0.0009598435        
π               0.0867          0.0552          3.1415946832         0.0000020296         1.6189925397         0.0009585510        
π               0.0832          0.0530          3.1415947584         0.0000021048         1.6189925157         0.0009585270        
π               0.0510          0.0325          3.1415904683         0.0000021853         1.6189938831         0.0009598944        
π               0.0796          0.0507          3.1415948403         0.0000021867         1.6189924896         0.0009585009        
π               0.0761          0.0484          3.1415949299         0.0000022763         1.6189924611         0.0009584723        
π               0.0475          0.0302          3.1415902849         0.0000023687         1.6189939416         0.0009599528        
π               0.0725          0.0462          3.1415950283         0.0000023747         1.6189924297         0.0009584410        
π               0.0971          0.0618          3.1415901992         0.0000024544         1.6189939689         0.0009599801        
π               0.0690          0.0439          3.1415951367         0.0000024831         1.6189923952         0.0009584064        
π               0.0935          0.0595          3.1415900959         0.0000025577         1.6189940018         0.0009600131        
π               0.0439          0.0280          3.1415900719         0.0000025817         1.6189940095         0.0009600207        
π               0.0654          0.0417          3.1415952570         0.0000026034         1.6189923568         0.0009583681        
π               0.0900          0.0573          3.1415899845         0.0000026691         1.6189940373         0.0009600486        
π               0.0619          0.0394          3.1415953910         0.0000027374         1.6189923141         0.0009583254        
π               0.0864          0.0550          3.1415898638         0.0000027897         1.6189940758         0.0009600870        
π               0.0404          0.0257          3.1415898214         0.0000028322         1.6189940893         0.0009601006        
π               0.0583          0.0371          3.1415955413         0.0000028877         1.6189922662         0.0009582774        
π               0.0829          0.0528          3.1415897329         0.0000029207         1.6189941175         0.0009601288        
π               0.0050          0.0032          3.1415957111         0.0000030575         1.6189922121         0.0009582233        
π               0.0548          0.0349          3.1415957111         0.0000030575         1.6189922121         0.0009582233        
π               0.0793          0.0505          3.1415895902         0.0000030634         1.6189941630         0.0009601742        
π               0.0368          0.0234          3.1415895226         0.0000031310         1.6189941845         0.0009601958        
π               0.0758          0.0482          3.1415894342         0.0000032194         1.6189942127         0.0009602240        
π               0.0512          0.0326          3.1415959045         0.0000032509         1.6189921504         0.0009581617        
π               0.0975          0.0621          3.1415959144         0.0000032608         1.6189921473         0.0009581585        
π               0.0940          0.0598          3.1415960275         0.0000033739         1.6189921112         0.0009581225        
π               0.0722          0.0460          3.1415892628         0.0000033908         1.6189942674         0.0009602786        
π               0.0477          0.0304          3.1415961266         0.0000034730         1.6189920796         0.0009580909        
π               0.0333          0.0212          3.1415891601         0.0000034935         1.6189943001         0.0009603113        
π               0.0904          0.0576          3.1415961495         0.0000034959         1.6189920723         0.0009580836        
π               0.0687          0.0437          3.1415890737         0.0000035799         1.6189943276         0.0009603389        
π               0.0869          0.0553          3.1415962815         0.0000036279         1.6189920303         0.0009580415        
π               0.0441          0.0281          3.1415963845         0.0000037309         1.6189919975         0.0009580087        
π               0.0833          0.0530          3.1415964247         0.0000037711         1.6189919846         0.0009579959        
π               0.0651          0.0415          3.1415888640         0.0000037896         1.6189943945         0.0009604057        
π               0.0970          0.0617          3.1415887623         0.0000038913         1.6189944269         0.0009604381        
π               0.0798          0.0508          3.1415965807         0.0000039271         1.6189919349         0.0009579462        
π               0.0297          0.0189          3.1415887110         0.0000039426         1.6189944433         0.0009604545        
π               0.0616          0.0392          3.1415886300         0.0000040235         1.6189944690         0.0009604803        
π               0.0406          0.0258          3.1415966874         0.0000040338         1.6189919009         0.0009579121        
π               0.0934          0.0595          3.1415886043         0.0000040493         1.6189944772         0.0009604885        
π               0.0762          0.0485          3.1415967513         0.0000040977         1.6189918806         0.0009578918        
π               0.0899          0.0572          3.1415884338         0.0000042198         1.6189945316         0.0009605428        
π               0.0727          0.0463          3.1415969384         0.0000042849         1.6189918209         0.0009578321        
π               0.0580          0.0369          3.1415883675         0.0000042861         1.6189945527         0.0009605640        
π               0.0370          0.0236          3.1415970485         0.0000043949         1.6189917858         0.0009577971        
π               0.0863          0.0549          3.1415882492         0.0000044044         1.6189945904         0.0009606017        
π               0.0691          0.0440          3.1415971449         0.0000044913         1.6189917551         0.0009577663        
π               0.0262          0.0167          3.1415881400         0.0000045136         1.6189946252         0.0009606365        
π               0.0545          0.0347          3.1415880707         0.0000045829         1.6189946473         0.0009606586        
π               0.0828          0.0527          3.1415880488         0.0000046048         1.6189946543         0.0009606655        
π               0.0976          0.0621          3.1415973351         0.0000046815         1.6189916945         0.0009577057        
π               0.0656          0.0417          3.1415973737         0.0000047201         1.6189916822         0.0009576934        
π               0.0792          0.0504          3.1415878305         0.0000048231         1.6189947239         0.0009607351        
π               0.0335          0.0213          3.1415974860         0.0000048325         1.6189916464         0.0009576576        
π               0.0941          0.0599          3.1415975017         0.0000048481         1.6189916414         0.0009576526        
π               0.0509          0.0324          3.1415877326         0.0000049210         1.6189947551         0.0009607663        
π               0.0620          0.0395          3.1415976286         0.0000049750         1.6189916009         0.0009576122        
π               0.0905          0.0576          3.1415976814         0.0000050278         1.6189915841         0.0009575953        
